Amstetten (Württ),8000577,5,Amstetten (Württ)
Amstetten (Württ),8000577,5,Amstetten (Württ)
Amtshainersdorf,8011039,7,Sebnitz - Amtshainersdorf
Andernach,8000331,3,Andernach
Anderten-Misburg,8000578,5,Hannover-Anderten
Angermund,8000579,5,Düsseldorf
Angermünde,8010004,3,Angermünde
Angern-Rogätz,8011042,6,Angern
Angersbach,8000580,6,Wartenberg
Angersdorf,8011043,6,Angersdorf
Anklam,8011044,5,Anklam
Annaburg,8011048,6,Annaburg
Annweiler am Trifels,8000582,5,Annweiler am Trifels
Annweiler-Sarnstall,8005257,7,Annweiler am Trifels
Anrath,8000584,5,Willich
Ansbach,8000009,3,Ansbach
Anwanden,8000588,6,Zirndorf
Anzefahr,8000589,6,Kirchhain
Apolda,8011051,4,Apolda
Appelhülsen,8000595,4,Nottuln-Appelhülsen
Appenweier,8000596,4,Appenweier
Appenweier,8000596,4,Appenweier
Ardey,8000597,7,Fröndenberg (Ardey)
Arensdorf (b Köthen),8011053,6,Köthen (Anhalt)
Arenshausen,8011054,6,Arenshausen
Arfurt (Lahn),8000599,6,Runkel
Arloff,8000601,6,Bad-Münstereifel
Armsheim,8000602,5,Armsheim
Arnbach,8000603,7,Schwabhausen
Arnsberg (Westf),8000605,4,Arnsberg
Arnschwang,8000606,7,Arnschwang
Arnsdorf (b Dresden),8010006,5,Arnsdorf
Arnstadt Hbf,8010007,4,Arnstadt
Arnstadt Süd,8011055,6,Arnstadt
Arsbeck,8000611,7,Wegberg
Artern,8012440,6,Artern
Arzberg (Oberfr),8000613,6,Arzberg (Oberfr)
Aschaffenburg Hbf,8000010,2,Aschaffenburg
Aschaffenburg Hochschule,8000618,6,Aschaffenburg
Aschaffenburg Süd,8000619,6,Aschaffenburg
Aschau (Chiemgau),8000621,6,Aschau 
Ascheberg (Holst),8000011,5,Ascheberg (Holstein)
Ascheberg (Westf),8000623,6,Ascheberg
Aschendorf,8000624,6,Papenburg
Aschersleben Pbf,8010009,4,Aschersleben
Ashausen,8000627,6,Stelle
Asperg,8000630,4,Asperg
Asselheim,8000625,7,Grünstadt
Asselheim,8000625,7,Grünstadt
Assenheim (Oberhess),8000632,6,Niddatal
Aßlar,8000633,6,Aßlar
Aßling (Oberbay),8000634,5,Aßling 
Assmannshausen,8000635,5,Rüdesheim am Rhein
Attendorn,8000638,6,Attendorn
Attendorn Hohen-Hagen,8087039,7,Attendorn
Attilastraße,8089003,5,Berlin
Au (Sieg),8000012,3,Windeck
Aue-Wingeshausen,8000647,7,Bad Berleburg
Auehütte,8011057,7,Schmalkalden
Auerbach (b Mosbach),8000649,6,Elztal-Auerbach
Auerbach (Vogtl) Hp,8011059,7,Auerbach 
Auerbach (Vogtl) ob Bf,8010011,7,Auerbach 
Auerbach (Vogtl) unt Bf,8010012,7,Auerbach 
Auersmacher,8000651,5,Kleinblittersdorf
Auerstedt,8011060,7,Auerstedt
Aufhausen (b Erding),8000653,6,Erding
Aufhausen (Württ),8000655,7,Bopfingen
Auggen,8000657,5,Auggen
Augsburg Haunstetterstraße,8000658,3,Augsburg
Augsburg Hbf,8000013,2,Augsburg
Augsburg Messe,8000659,5,Augsburg-Göggingen
Augsburg Morellstraße,8000660,6,Augsburg
Augsburg-Hochzoll,8000661,3,Augsburg
Augsburg-Hochzoll,8000661,3,Augsburg
Augsburg-Oberhausen,8000662,4,Augsburg
Augustfehn,8000664,5,Apen
Aukrug,8003078,7,Aukrug
Aulendorf,8000014,4,Aulendorf
Aumenau,8000668,6,Villmar
Aumühle,8000669,4,Aumühle
Aumühle,8000669,4,Aumühle
Aumühle,8000669,4,Aumühle
Auringen-Medenbach,8000671,6,Wiesbaden
Außenried,8000672,7,Langdorf
Auw an der Kyll,8000674,6,Auw an der Kyll
Aying,8000675,6,Aying
Baalberge,8010013,6,Baalberge
Baar-Ebenhausen,8000678,6,Baar-Ebenhausen
Babelsberg,8080070,5,Potsdam
Babenhausen (Hess),8000015,5,Babenhausen
Babenhausen Langstadt,8003559,7,Babenhausen
Babstadt,8000681,6,Bad Rappenau
Bacharach,8000683,4,Bacharach
Bachern,8000685,7,Bergkirchen
Bachfeld,8011065,7,Bachfeld
Bachheim,8000686,7,Löffingen
Backnang,8000016,3,Backnang
Bad Abbach,8000689,6,Bad Abbach
Bad Aibling,8000690,5,Bad Aibling
Bad Aibling Kurpark,8000696,6,Bad Aibling
Bad Bellingen,8000864,6,Bad Bellingen
Bad Belzig,8010031,5,Belzig
Bad Bentheim,8000879,4,Bad Bentheim
Bad Bergzabern,8000691,6,Bad Bergzabern
Bad Berka,8011066,7,Bad Berka
Bad Berka Zeughausplatz,8011067,7,Bad Berka
Bad Berleburg,8000907,6,Bad Berleburg
Bad Bevensen,8000935,5,Bad Bevensen
Bad Blankenburg (Thüringerw),8010014,6,Bad Blankenburg (Thür)
Bad Bodendorf,8001049,6,Sinzig
Bad Bodenteich,8001052,7,Bad Bodenteich
Bad Brambach,8011068,6,Bad Brambach
Bad Breisig,8000694,5,Bad Breisig
Bad Camberg,8001322,5,Bad Camberg
Bad Doberan,8010016,5,Bad Doberan
Bad Driburg (Westf),8000697,6,Bad Driburg
Bad Dürkheim,8000698,4,Bad Dürkheim
Bad Dürkheim-Trift,8000708,6,Bad Dürkheim
Bad Dürrenberg,8011071,6,Bad Dürrenberg
