Bonn-Beuel,8001083,4
Boppard Hbf,8000045,4
Bornheim-Sechtem,8005499,4
Bornholmer Straße,8089008,4
Botanischer Garten,8089009,4
Bottrop Hbf,8000047,4
Bottrop Hbf,8000047,4
Brackwede,8000048,4
Brandenburg Hbf,8010060,3
Brannenburg,8001129,4
Braunschweig Hbf,8000049,2
Bredstedt,8001139,4
Bremen Hbf,8000050,2
Bremen-Burg,8001156,4
Bremen-Mahndorf,8001160,4
Bremen-Walle,8001167,4
Bremerhaven Hbf,8000051,3
Bretten,8000053,4
Bruchsal,8000055,2
Brühl,8001215,4
Brühl,8001215,4
Büchen,8000058,3
Buchholz (Nordheide),8000056,3
Buchloe,8000057,3
Bückeburg,8001245,4
Bullay DB,8001267,4
Bünde (Westf),8000059,4
Bundesplatz,8089107,4
Burg (b Magdeburg),8011294,4
Burgdorf (Han),8001279,4
Butzbach,8001312,4
Bützow,8010066,4
Buxtehude,8001315,3
Calbe (Saale) Ost,8010070,4
Castrop-Rauxel Hbf,8001327,3
Celle Pbf,8000064,3
Cham (Oberpf),8001330,4
Chemnitz Hbf,8010184,2
Coburg,8001338,4
Cochem (Mosel),8001340,4
Coesfeld (Westf),8000066,4
Coswig (b Dresden),8010072,3
Cottbus,8010073,2
Crailsheim,8000067,3
Dachau Bahnhof,8001354,3
Darmstadt Hbf,8000068,2
Darmstadt-Eberstadt,8001379,4
Dedensen / Gümmer,8001393,4
Deisenhofen,8001404,4
Delitzsch unt Bf,8010076,4
Delmenhorst,8000070,3
Denzlingen,8001415,4
Dessau Hauptbahnhof,8010077,3
Dieburg,8000362,4
Diepholz,8001443,4
Dillenburg,8000074,4
Dillingen (Saar),8000075,3
Ditzingen,8001476,4
Doberlug-Kirchhain,8010079,4
Doberlug-Kirchhain,8010079,4
Donaueschingen,8000077,4
Donauwörth,8000078,4
Dormagen,8001506,4
Dorsten,8006709,4
Dortmund Hbf,8000080,1
Dortmund Signal-Iduna-Park,8001522,4
Dortmund-Dorstfeld,8000081,3
Dortmund-Dorstfeld,8000081,3
Dortmund-Dorstfeld,8000081,3
