Berlin-Schlachtensee,8089085,4,Berlin
Berlin-Schönefeld Flughafen,8010109,3,Schönefeld
Berlin-Schöneweide Pbf,8010041,3,Berlin
Berlin-Schönholz,8089087,4,Berlin
Berlin-Spandau,8010404,2,Berlin
Berlin-Tempelhof,8089090,4,Berlin
Berlin-Wannsee,8010405,2,Berlin
Berlin-Wannsee ARZ,8010405,2,Berlin
Berlin-Westkreuz,8089047,3,Berlin
Berlin-Westkreuz,8089047,3,Berlin
Berlin-Westkreuz,8089047,3,Berlin
Berlin-Zehlendorf,8089098,4,Berlin
Berliner Tor (S-Bahn),8000908,3,Hamburg
Berliner Tor (S-Bahn),8000908,3,Hamburg
Berliner Tor (S-Bahn),8000908,3,Hamburg
Bernau (b Berlin),8013470,3,Bernau bei Berlin
Bernburg,8010043,4,Bernburg
Betriebsbahnhof Berlin-Rummelsburg,8089006,4,Berlin
Betriebsbahnhof Berlin-Schöneweide,8089007,4,Berlin
Betzdorf (Sieg),8000034,3,Betzdorf 
Beusselstraße,8089118,4,Berlin
Biberach (Riß),8000943,4,Biberach (Riß)
Biblis,8000503,4,Biblis
Bielefeld Hbf,8000036,2,Bielefeld
Bielefeld Hbf,8000036,2,Bielefeld
Biesdorf,8089055,4,Berlin
Bietigheim-Bissingen,8000038,2,Bietigheim-Bissingen
Bingen (Rhein) Hbf,8000039,4,Bingen 
Bingen (Rhein) Stadt,8000976,4,Bingen 
Birkenwerder (b Berlin),8080190,4,Birkenwerder
Bitterfeld,8010050,3,Bitterfeld-Wolfen
Blankenese (S-Bahn),8001007,3,Hamburg
Blankenfelde (Kr Teltow-Fläming),8010053,4,Blankenfelde 
Blankenloch,8001009,4, Stutensee
Bobingen,8001033,4,Bobingen
Böblingen,8001055,3,Böblingen
Bochum Hbf,8000041,2,Bochum
Bochum-Langendreer,8000358,4,Bochum
Bochum-Langendreer,8000358,4,Bochum
Bochum-Langendreer West,8004474,4,Bochum
Bodenheim,8000359,4,Bodenheim
Bonn Hbf,8000044,2,Bonn
Bonn-Bad Godesberg,8001082,4,Bonn
Bonn-Beuel,8001083,4,Bonn
Boppard Hbf,8000045,4,Boppard
Bornheim-Sechtem,8005499,4,Bornheim
Bornholmer Straße,8089008,4,Berlin
Botanischer Garten,8089009,4,Berlin
Bottrop Hbf,8000047,4,Bottrop
Bottrop Hbf,8000047,4,Bottrop
Brackwede,8000048,4,Bielefeld
Brandenburg Hbf,8010060,3,Brandenburg an der Havel
Brannenburg,8001129,4,Brannenburg
Braunschweig Hbf,8000049,2,Braunschweig
Bredstedt,8001139,4,Bredstedt
Bremen Hbf,8000050,2,Bremen
Bremen-Burg,8001156,4,Bremen
Bremen-Mahndorf,8001160,4,Bremen
Bremen-Walle,8001167,4,Bremen
Bremerhaven Hbf,8000051,3,Bremerhaven
Bretten,8000053,4,Bretten
Bruchsal,8000055,2,Bruchsal
Brühl,8001215,4,Brühl
Brühl,8001215,4,Brühl
Büchen,8000058,3,Büchen
Buchholz (Nordheide),8000056,3,Buchholz i.d.Nordheide
Buchloe,8000057,3,Buchloe
Bückeburg,8001245,4,Bückeburg
Bullay DB,8001267,4,Bullay
Bünde (Westf),8000059,4,Bünde 
Bundesplatz,8089107,4,Berlin
Burg (b Magdeburg),8011294,4,Burg
Burgdorf (Han),8001279,4,Burgdorf 
Butzbach,8001312,4,Butzbach
Bützow,8010066,4,Bützow
Buxtehude,8001315,3,Buxtehude
Calbe (Saale) Ost,8010070,4,Calbe (Saale)
Castrop-Rauxel Hbf,8001327,3,Castrop-Rauxel
Celle Pbf,8000064,3,Celle
Cham (Oberpf),8001330,4,Cham 
Chemnitz Hbf,8010184,2,Chemnitz 
Coburg,8001338,4,Coburg
Cochem (Mosel),8001340,4,Cochem 
Coesfeld (Westf),8000066,4,Coesfeld
Coswig (b Dresden),8010072,3,Coswig
Cottbus,8010073,2,Cottbus
Crailsheim,8000067,3,Crailsheim
Dachau Bahnhof,8001354,3,Dachau
Darmstadt Hbf,8000068,2,Darmstadt
Darmstadt-Eberstadt,8001379,4,Darmstadt
Dedensen / Gümmer,8001393,4,Seelze
Deisenhofen,8001404,4,Oberhaching
