Bf-Nr;Bahnhof;DS 100;Aufgaben­träger;Bahnhofs­kategorie 2015;Bahnhofs­kategorie 2005;Bundes­land;Regional­bereich;Stations­preis 2015 [€];Stations­preis 2005 [€];Veränderung 2005–2015 [%]
962;Buir;KBUI;NVR;5;5;Nordrhein-Westfalen;West;3,54;2,83;20,06
962;Buir;KBUH;NVR;5;5;Nordrhein-Westfalen;West;3,54;2,83;20,06
963;Buldern;EBUD;NWL;5;5;Nordrhein-Westfalen;West;4,04;2,83;29,95
964;Bullay DB;SBY;ZVRP Nor;4;3;Rheinland-Pfalz;Mitte;5,26;9,56;–81,75
966;Bülzig;LBZG;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
967;Buna Werke;LBW;NASA;7;6;Sachsen-Anhalt;Südost;2,9;1,97;32,07
968;Bünde (Westf);HBDE;NWL;4;3;Nordrhein-Westfalen;West;5,35;5,81;–8,6
970;Bundesplatz;BBUP;VBB Berlin;4;4;Berlin;Ost;2,25;1,96;12,89
972;Burbach (Kr Siegen);EBUR;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
8279;Burbach Mitte;;VGS;6;;Saarland;;1,83;;
973;Burg (b Magdeburg);LBU;NASA;4;5;Sachsen-Anhalt;Südost;4,99;4,03;19,24
975;Burg (Dillkr) Nord;FBUN;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
976;Burg (Dithm);ABR;LVS;6;6;Schleswig-Holstein;Nord;4,33;2,56;40,88
977;Burg Stargard (Meckl);WBSG;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
978;Burg- und Nieder Gemünden;FBNG;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
979;Burgau (Schwab);MBGU;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
980;Burgbernheim;NBUM;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
981;Burgbernheim-Wildbad;;BEG;6;;Bayern;;3,34;;
982;Burgdorf (Han);HBGD;RH;4;5;Niedersachsen;Nord;5,12;2,75;46,29
983;Bürgeln;FBRG;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
984;Burghaun (Kr Hünfeld);FBUH;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
986;Burgheim;MBGH;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
987;Burgholzhausen v d Höhe;FBGH;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
989;Burgkemnitz;LBGK;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
991;Burgkunstadt;NBK;BEG;5;6;Bayern;Süd;3,17;2,01;36,59
992;Burglauer;NBUR;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
994;Burgsinn;NBN;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
995;Burgstädt;DBU;VMS;6;5;Sachsen;Südost;4,26;3,81;10,56
996;Burgstall (Murr);TBU;VRStutt;6;6;Baden-Württemberg;Südwest;1,53;2,03;–32,68
997;Burgsteinfurt;EBFT;NWL;6;5;Nordrhein-Westfalen;West;4,1;2,83;30,98
998;Burgthann;NBUT;BEG;5;6;Bayern;Süd;3,17;2,01;36,59
454;Burhafe;;LNVG;7;;Niedersachsen;;2,98;;
1000;Burkhardswalde-Maxen;DBWD;VVO;7;6;Sachsen;Südost;2,5;2,37;5,2
1002;Bürstadt;FBUP;VRN;6;6;Hessen;Mitte;2,77;2,32;16,25
7177;Bürstadt (Ried);FBUE;VRN;5;6;Hessen;Mitte;5,53;2,32;58,05
1005;Buschow;LBOW;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
1006;Büsenbachtal;ABUS;LNVG;7;6;Niedersachsen;Nord;2,98;2,61;12,42
1008;Büsum;ABSM;LVS;6;6;Schleswig-Holstein;Nord;4,33;2,56;40,88
1009;Buttenheim;NBT;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1011;Büttgen;KBUT;VRR;5;5;Nordrhein-Westfalen;West;2,88;2,83;1,74
1012;Buttstädt;UBU;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
1013;Butzbach;FBZ;RMV;4;5;Hessen;Mitte;3,2;2,37;25,94
1014;Bützow;WB;VMV;4;3;Mecklenburg-Vorpommern;Ost;5,36;18,8;–250,75
1015;Buxtehude;ABX;LNVG;3;5;Niedersachsen;Nord;7,67;2,75;64,15
1016;Cadenberge;ACD;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
1017;Cadolzburg;NCA;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
1019;Calau (Niederlausitz);BC;VBB;5;5;Brandenburg;Ost;4,08;6,95;–70,34
1020;Calbe (Saale) Ost;LCBO;NASA;4;5;Sachsen-Anhalt;Südost;4,99;4,03;19,24
1021;Calbe (Saale) West;LCBW;NASA;7;6;Sachsen-Anhalt;Südost;2,9;1,97;32,07
1022;Calberlah;HCAL;ZGB;6;6;Niedersachsen;Nord;5,12;2,61;49,02
1025;Calw;TCW;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
1026;Camburg (Saale);UCB;NVS;6;6;Thüringen;Südost;4,2;1,78;57,62
1027;Cammin (Meckl);WCA;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
1028;Capelle (Westf);ECP;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
1029;Caputh-Geltow;BCAP;VBB;7;6;Brandenburg;Ost;3,02;3,44;–13,91
5767;Caputh-Schwielowsee;BSIS;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
1032;Casekow;WCW;VBB;7;6;Brandenburg;Ost;3,02;3,44;–13,91
1033;Castrop-Rauxel Hbf;ECA;VRR;3;3;Nordrhein-Westfalen;West;4,2;5,81;–38,33
1034;Castrop-Rauxel Süd;ECASP;VRR;6;6;Nordrhein-Westfalen;West;3,61;2,79;22,71
1034;Castrop-Rauxel Süd;ECAS;VRR;6;6;Nordrhein-Westfalen;West;3,61;2,79;22,71
1035;Castrop-Rauxel-Merklinde;ECME;VRR;6;6;Nordrhein-Westfalen;West;3,61;2,79;22,71
1036;Celle Pbf;HC;LNVG;3;3;Niedersachsen;Nord;7,67;6,53;14,86
1037;Cham (Oberpf);NCH;BEG;4;5;Bayern;Süd;3,97;2,32;41,56
1038;Chamerau;NCHA;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
1040;Chemnitz Hbf;DC;VMS;2;2;Sachsen;Südost;39,04;24,82;36,42
1041;Chemnitz Kinderwaldstätte;DCKI;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
1042;Chemnitz Mitte;DCM;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
1044;Chemnitz Süd;DCS;VMS;5;5;Sachsen;Südost;3,46;3,81;–10,12
1044;Chemnitz Süd;DCD;VMS;5;5;Sachsen;Südost;3,46;3,81;–10,12
1046;Chemnitz-Borna Hp;DCBH;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
1050;Chemnitz-Hilbersdorf Hp;DCHP;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
1050;Chemnitz-Hilbersdorf Hp;DCH;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
1052;Chemnitz-Schönau;DCC;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
1053;Chemnitz-Siegmar;DCSI;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
1055;Chorin;WCOK;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
1056;Clarholz;ECOH;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
1056;Clarholz;ECO;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
1057;Clausnitz;DCL;VMS;7;6;Sachsen;Südost;3,15;2,37;24,76
1058;Cloppenburg;HCLP;LNVG;6;5;Niedersachsen;Nord;4,62;2,75;40,48
1059;Coburg;NC;BEG;4;3;Bayern;Süd;3,97;8,54;–115,11
8057;Coburg Nord;;BEG;7;;Bayern;;2,41;;
1060;Coburg-Neuses;NCNS;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
1061;Cochem (Mosel);SCOC;ZVRP Nord;4;3;Rheinland-Pfalz;Mitte;5,26;9,56;–81,75
1062;Coesfeld (Westf);ECMF;NWL;4;5;Nordrhein-Westfalen;West;5,35;2,83;47,1
8248;Coesfeld Schulzentrum;;NWL;6;;Nordrhein-Westfalen;;4,1;;
1063;Cölbe;FCOE;RMV;5;5;Hessen;Mitte;2,83;2,37;16,25
1068;Contwig;SCN;ZPNV Süd;7;6;Rheinland-Pfalz;Mitte;1,76;1,47;16,48
1069;Coppenbrügge;HCOP;LNVG;7;6;Niedersachsen;Nord;2,98;2,61;12,42
1072;Coschen;BCO;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
1073;Cossebaude;DCB;VVO;6;6;Sachsen;Südost;2,9;2,37;18,28
1074;Cossen;DCO;VVO;6;6;Sachsen;Südost;2,9;2,37;18,28
1075;Coswig (Anh);LCW;NASA;5;6;Sachsen-Anhalt;Südost;4,16;1,97;52,64
1076;Coswig (b Dresden);DCW;VVO;3;4;Sachsen;Südost;5,36;1,61;69,96
1077;Cottbus;BCS;VBB;2;3;Brandenburg;Ost;42,05;19,94;52,58
4074;Cottbus-Merzdorf;BMZDN;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
4074;Cottbus-Merzdorf;BMZD;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
5503;Cottbus-Sandow;BSDO;VBB;6;5;Brandenburg;Ost;4,66;6,95;–49,14
5503;Cottbus-Sandow;BCSO;VBB;6;5;Brandenburg;Ost;4,66;6,95;–49,14
6781;Cottbus-Willmersdorf;BWDF;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
6781;Cottbus-Willmersdorf Nord;;VBB;6;;Brandenburg;;4,66;;
1079;Crailsheim;TC;NVBW;3;3;Baden-Württemberg;Südwest;6,43;6,87;–6,84
1080;Cranzahl;DCR;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
1081;Crawinkel;UCL;VMS;6;6;Thüringen;Südost;4,26;1,78;58,22
1082;Creidlitz;NCR;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1083;Creußen (Oberfr);NCRE;BEG;5;6;Bayern;Süd;3,17;2,01;36,59
1084;Crimmitschau;DCU;VMS;6;5;Sachsen;Südost;4,26;3,81;10,56
1086;Crivitz;WCZ;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
3432;Crossen a, d, Elster;UKS;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
7998;Crossen Ort;UKSO;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
1095;Cuxhaven;ACV;LNVG;5;5;Niedersachsen;Nord;4,97;2,75;44,67
1098;Dabendorf;BDAB;VBB;5;5;Brandenburg;Ost;4,08;6,95;–70,34
1099;Dachau Bahnhof;MDA;BEG;3;4;Bayern;Süd;5,81;1,44;75,22
1100;Dachau Stadt;MDAS;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1101;Dachrieden;UDA;NVS;6;6;Thüringen;Südost;4,2;1,78;57,62
1102;Dachwig;UDW;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
1103;Dahl;EDHL;VRR;6;6;Nordrhein-Westfalen;West;3,61;2,79;22,71
1104;Dahlbruch;EDAB;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
1105;Dahlem (Eifel);KDAM;NVR;6;6;Nordrhein-Westfalen;West;4,3;2,79;35,12
1106;Dahlen (Sachs);LDA;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
1107;Dahlenburg;ADL;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
1108;Dahlerbrück;EDAK;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
1109;Dahlewitz;BDT;VBB;5;5;Brandenburg;Ost;4,08;6,95;–70,34
1114;Dalheim;KDAL;NVR;6;6;Nordrhein-Westfalen;West;4,3;2,79;35,12
1115;Dallau;RDL;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
1116;Dallgow-Döberitz;BDL;VBB;5;5;Brandenburg;Ost;4,08;6,95;–70,34
1121;Dannenberg Ost;ADB;LNVG;7;6;Niedersachsen;Nord;2,98;2,61;12,42
1122;Dannenwalde (Kr Gransee);WDWE;VBB;7;6;Brandenburg;Ost;3,02;3,44;–13,91
1123;Darching;MDAR;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1125;Darlingerode;LDAR;NASA;7;6;Sachsen-Anhalt;Südost;2,9;1,97;32,07
1126;Darmstadt Hbf;FD;RMV;2;2;Hessen;Mitte;11,79;15,81;–34,1
1127;Darmstadt Nord;FDN;RMV;5;5;Hessen;Mitte;2,83;2,37;16,25
1128;Darmstadt Ost;FDO;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
1129;Darmstadt Süd;FDS;RMV;5;6;Hessen;Mitte;2,83;2,32;18,02
1130;Darmstadt-Arheilgen;FDA;RMV;6;5;Hessen;Mitte;3,13;2,37;24,28
1131;Darmstadt-Eberstadt;FDE;RMV;4;5;Hessen;Mitte;3,2;2,37;25,94
1132;Darmstadt-Kranichstein;FDK;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
7161;Darmstadt-Lichtwiese;;RMV;6;;Hessen;;3,13;;
6843;Darmstadt-Wixhausen;FWX;RMV;6;5;Hessen;Mitte;3,13;2,37;24,28
1134;Dasing;MDAG;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
1135;Dattenfeld (Sieg);KDAT;NVR;6;5;Nordrhein-Westfalen;West;4,3;2,83;34,19
1136;Dauenhof;ADH;LVS;6;6;Schleswig-Holstein;Nord;4,33;2,56;40,88
1138;Daufenbach;SDF;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
1140;Dausenau;FDSU;ZVRP Nord;5;6;Rheinland-Pfalz;Mitte;2,57;1,47;42,8
1141;Davensberg;EDVB;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
1144;Dedenhausen;HDEH;RH;6;6;Niedersachsen;Nord;4,89;2,61;46,63
1145;Dedensen / Gümmer;HDED;RH;4;5;Niedersachsen;Nord;5,12;2,75;46,29
1146;Dedinghausen;EDED;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
1149;Deggendorf Hbf;NDG;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
1151;Deidesheim;RDM;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
1152;Deining (Oberpf);NDE;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1153;Deisenhofen;MDS;BEG;4;4;Bayern;Süd;3,97;1,44;63,73
8060;Deißlingen Mitte;TDLM;NVBW;7;6;Baden-Württemberg;Südwest;2,33;2,03;12,88
1155;Delitzsch ob Bf;LDLO;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
1156;Delitzsch unt Bf;LDL;ZVNL;4;5;Sachsen;Südost;3,19;3,81;–19,44
1157;Dellfeld;SDE;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
1158;Dellfeld Ort;SDEO;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
1159;Delmenhorst;HD;LNVG;3;3;Niedersachsen;Nord;7,67;6,53;14,86
1160;Demitz-Thumitz;DDT;ZVON;6;6;Sachsen;Südost;3,99;2,37;40,6
1161;Demker;LDK;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
1162;Demmin;WDM;VMV;5;6;Mecklenburg-Vorpommern;Ost;5,08;2,72;46,46
1163;Dennheritz;DDZ;VMV;5;6;Sachsen;Südost;5,08;2,37;53,35
1164;Densborn;SDBO;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
1165;Denzlingen;RDZ;NVBW;4;4;Baden-Württemberg;Südwest;4,62;1,47;68,18
1168;Derkum;KDEK;NVR;6;6;Nordrhein-Westfalen;West;4,3;2,79;35,12
1170;Dernau;KDEA;ZVRP Nord;5;6;Rheinland-Pfalz;Mitte;2,57;1,47;42,8
1171;Dernbach (Westerw);KDEB;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
1172;Derneburg (Han);HDBG;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
1173;Dessau Hauptbahnhof;LD;NASA;3;3;Sachsen-Anhalt;Südost;7,66;15,92;–107,83
1174;Dessau Süd;LDS;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
1176;Dessau-Alten;LDAL;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
1177;Dessau-Mosigkau;LDMO;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
1178;Dessauer Brücke;LDBR;NASA;6;4;Sachsen-Anhalt;Südost;4,07;1,4;65,6
1179;Dessow (Mark);WD;NASA;6;6;Brandenburg;Ost;4,07;3,44;15,48
1180;Detmold;EDTM;NWL;5;5;Nordrhein-Westfalen;West;4,04;2,83;29,95
1181;Dettelbach Bahnhof;NDEB;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1182;Dettingen (Main);FDET;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
1183;Dettingen (Teck);TDT;VRStutt;7;6;Baden-Württemberg;Südwest;6,22;2,03;67,36
1184;Dettum;HDEM;ZGB;7;6;Niedersachsen;Nord;2,68;2,61;2,61
1185;Deuben (b Zeitz);LDB;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
1186;Deuerling;NDN;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1187;Deuten;EDEU;VRR;6;6;Nordrhein-Westfalen;West;3,61;2,79;22,71
1189;Deutschenbora;DDB;VVO;6;6;Sachsen;Südost;2,9;2,37;18,28
1190;Deutzen;LDTZ;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
1192;Diebach;NDIE;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1193;Diebsteich (S-Bahn);ADT;BWVI;5;4;Hamburg;Nord;3,77;2,12;43,77
1194;Dieburg;FDI;RMV;4;5;Hessen;Mitte;3,2;2,37;25,94
1196;Diedorf (Schwab);MDID;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
8252;Dienheim;;ZPNV Süd;6;;Rheinland-Pfalz;;2,08;;
1200;Diepholz;HDIP;LNVG;4;5;Niedersachsen;Nord;5,93;2,75;53,63
1202;Dieringhausen;KDI;NVR;6;5;Nordrhein-Westfalen;West;4,3;2,83;34,19
1204;Dieskau;LDI;NASA;6;5;Sachsen-Anhalt;Südost;4,07;4,03;0,98
1205;Dießen;MDIN;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1206;Dietersheim;NDT;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
1209;Dietmannsried;MDRD;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
7166;Dietzenbach Bahnhof;FDZ;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
7213;Dietzenbach-Mitte;FDZM;RMV;5;6;Hessen;Mitte;2,83;2,32;18,02
7216;Dietzenbach-Steinberg;FDZS;RMV;5;6;Hessen;Mitte;2,83;2,32;18,02
1210;Dietzhausen;UDN;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
1211;Diez;FDIZ;ZVRP Nord;5;5;Rheinland-Pfalz;Mitte;2,57;1,73;32,68
1212;Diez Ost;FDIO;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
1213;Dillbrecht;FDBT;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
1214;Dillenburg;FDIL;RMV;4;3;Hessen;Mitte;3,2;4,65;–45,31
1215;Dillingen (Donau);MDIL;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
1216;Dillingen (Saar);SDL;VGS;3;5;Saarland;Mitte;3,22;1,46;54,66
1217;Dingden;EDGD;VRR;6;6;Nordrhein-Westfalen;West;3,61;2,79;22,71
1220;Dingolfing;MDIF;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
1222;Dinkelscherben;MDKS;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
1223;Dinslaken;EDIN;VRR;5;3;Nordrhein-Westfalen;West;2,88;5,81;–101,74
1226;Dirmingen;SDIR;VGS;6;6;Saarland;Mitte;1,83;1,25;31,69
1227;Dissen-Bad Rothenfelde;HDBR;LNVG;6;6;Nordrhein-Westfalen;West;4,62;2,79;39,61
1228;Distelhausen;TDIH;LNVG;6;6;Baden-Württemberg;Südwest;4,62;2,03;56,06
1229;Ditfurt;LDT;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
1231;Dittersbach (b Frankenberg/Sachs);DDIF;VMS;7;6;Sachsen;Südost;3,15;2,37;24,76
1233;Dittigheim;TDM;VMS;7;6;Baden-Württemberg;Südwest;3,15;2,03;35,56
1234;Ditzingen;TDI;VRStutt;4;4;Baden-Württemberg;Südwest;3,48;1,47;57,76
1236;Döbeln Hbf;DDE;VMS;5;5;Sachsen;Südost;3,46;3,81;–10,12
1237;Döbeln Zentrum;DDEO;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
1238;Döberitz;LDO;VMS;6;6;Brandenburg;Ost;4,26;3,44;19,25
1240;Doberlug-Kirchhain;BDKU;VBB;4;5;Brandenburg;Ost;5,47;6,95;–27,06
1240;Doberlug-Kirchhain;BDKO;VBB;4;5;Brandenburg;Ost;5,47;6,95;–27,06
1242;Doberschütz;LDOB;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
1245;Dodendorf;LDF;NASA;6;6;Sachsen-Anhalt;Südost;4,07;1,97;51,6
1246;Dogern;RDRN;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
1247;Döggingen;RDGN;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
1250;Dohna (Sachs);DDO;VVO;7;6;Sachsen;Südost;2,5;2,37;5,2
1254;Dollbergen;HDOG;RH;5;5;Niedersachsen;Nord;4,88;2,75;43,65
1255;Dollern;ADR;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
1256;Dollnstein;MDO;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1257;Döllstädt;UDST;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
1259;Dombühl;NDB;BEG;5;6;Bayern;Süd;3,17;2,01;36,59
1262;Domnitz (SaalKr);LDN;NASA;7;6;Sachsen-Anhalt;Südost;2,9;1,97;32,07
1263;Domsühl;WDS;VMV;7;6;Mecklenburg-Vorpommern;Ost;3,85;2,72;29,35
1264;Donaueschingen;RDO;NVBW;4;5;Baden-Württemberg;Südwest;4,62;2,31;50
7081;Donaueschingen Allmendshofen;;NVBW;7;;Baden-Württemberg;;2,33;;
7081;Donaueschingen Allmendshofen;RDOA;NVBW;7;6;Baden-Württemberg;Südwest;2,33;2,03;12,88
6919;Donaueschingen Aufen;RDOF;NVBW;7;6;Baden-Württemberg;Südwest;2,33;2,03;12,88
6927;Donaueschingen Grüningen;RDOG;NVBW;7;6;Baden-Württemberg;Südwest;2,33;2,03;12,88
7028;Donaueschingen Mitte/Siedlung;RDOM;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
1265;Donauwörth;MDT;BEG;4;3;Bayern;Süd;3,97;8,54;–115,11
1266;Donndorf (Unstrut);UDO;BEG;4;6;Thüringen;Südost;3,97;1,78;55,16
4019;Dorf Mecklenburg;;VMV;6;;Mecklenburg-Vorpommern;;5,24;;
1268;Dorfen Bahnhof;MDFN;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
1270;Dörfles-Esbach;NDOE;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
1271;Dorfmark;HDMK;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
1272;Dorfprozelten;NDP;LNVG;6;6;Bayern;Süd;4,62;2,01;56,49
1273;Dorheim (Wetterau);FDH;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
1274;Dormagen;KDO;VRR;4;4;Nordrhein-Westfalen;West;2,82;1,89;32,98
1275;Dormagen Bayerwerk;KDBWN;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1275;Dormagen Bayerwerk;KDBW;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1275;Dormagen Chempark;;VRR;6;;Nordrhein-Westfalen;;3,61;;
1276;Dornburg (Saale);UDG;NVS;6;6;Thüringen;Südost;4,2;1,78;57,62
1280;Dornstetten;TDS;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
1281;Dörpen;HDOP;LNVG;6;6;Niedersachsen;Nord;4,62;2,61;43,51
1282;Dörrberg;UDOE;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
1284;Dorsten;EDRN;VRR;4;3;Nordrhein-Westfalen;West;2,82;5,81;–106,03
1285;Dortelweil;FDW;RMV;5;4;Hessen;Mitte;2,83;1,85;34,63
1289;Dortmund Hbf;EDO;VRR;1;1;Nordrhein-Westfalen;West;15,52;16,82;–8,38
1297;Dortmund Signal-Iduna-Park;;VRR;4;;Nordrhein-Westfalen;;2,82;;
1298;Dortmund-Aplerbeck;EDAP;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1299;Dortmund-Aplerbeck Süd;EDAU;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1287;Dortmund-Asseln Mitte;EDAM;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1300;Dortmund-Barop;EDBA;VRR;5;5;Nordrhein-Westfalen;West;2,88;2,83;1,74
1301;Dortmund-Bövinghausen;EDBH;VRR;6;6;Nordrhein-Westfalen;West;3,61;2,79;22,71
1302;Dortmund-Brackel;EDBK;VRR;5;5;Nordrhein-Westfalen;West;2,88;2,83;1,74
1303;Dortmund-Derne;EDD;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1304;Dortmund-Dorstfeld;EDDPT;VRR;3;4;Nordrhein-Westfalen;West;4,2;1,89;55
1304;Dortmund-Dorstfeld;EDDPH;VRR;3;4;Nordrhein-Westfalen;West;4,2;1,89;55
1304;Dortmund-Dorstfeld;EDDP;VRR;3;4;Nordrhein-Westfalen;West;4,2;1,89;55
1305;Dortmund-Dorstfeld Süd;EDDS;VRR;4;4;Nordrhein-Westfalen;West;2,82;1,89;32,98
1288;Dortmund-Germania;EDGM;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1306;Dortmund-Hörde;EDH;VRR;4;4;Nordrhein-Westfalen;West;2,82;1,89;32,98
1307;Dortmund-Huckarde;EDOH;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1308;Dortmund-Huckarde Nord;EDHU;VRR;7;6;Nordrhein-Westfalen;West;4,3;2,79;35,12
1309;Dortmund-Kirchderne;EDKD;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1310;Dortmund-Kirchhörde;EDKH;VRR;6;6;Nordrhein-Westfalen;West;3,61;2,79;22,71
1311;Dortmund-Kley;EDK;VRR;4;4;Nordrhein-Westfalen;West;2,82;1,89;32,98
1290;Dortmund-Knappschaftskrankenhaus;EDKK;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1312;Dortmund-Körne;EDKO;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1313;Dortmund-Körne West;EDWK;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
1314;Dortmund-Kruckel;EDKR;VRR;6;5;Nordrhein-Westfalen;West;3,61;2,83;21,61
