Bf-Nr;Bahnhof;DS 100;Aufgaben­träger;Bahnhofs­kategorie 2015;Bahnhofs­kategorie 2005;Bundes­land;Regional­bereich;Stations­preis 2015 [€];Stations­preis 2005 [€];Veränderung 2005–2015 [%]
59;Allendorf (Dillkr);FADD;RMV;7;6;Hessen;Mitte;2,27;2,32;–2,2
60;Allensbach;RAB;NVBW;4;5;Baden-Württemberg;Südwest;4,62;2,31;50
7979;Allermöhe;;BWVI;4;;Hamburg;;2,87;;
7979;Allermöhe (S-Bahn);AALH;BWVI;4;4;Hamburg;Nord;2,87;2,12;26,13
99;Allersberg (Rothsee);;BEG;6;;Bayern;;3,34;;
61;Allmendingen;TALL;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
62;Alpen;KALP;VRR;7;6;Nordrhein-Westfalen;West;4,3;2,79;35,12
63;Alpirsbach;RALP;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
64;Alsenz;SAZ;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
65;Alsfeld (Oberhess);FAFD;RMV;5;5;Hessen;Mitte;2,83;2,37;16,25
66;Alsheim;FAHM;ZPNV Süd;5;5;Rheinland-Pfalz;Mitte;3,17;1,73;45,43
67;Alt Hüttendorf;WAHU;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
71;Alt Rosenthal;BARO;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
72;Alt Schwerin;WAS;VBB;6;6;Mecklenburg-Vorpommern;Ost;4,66;2,72;41,63
7719;Alt-Reinickendorf;BARF;VBB Berlin;6;4;Berlin;Ost;2,81;1,96;30,25
73;Altbach;TACH;VRStutt;3;4;Baden-Württemberg;Südwest;3,08;1,47;52,27
74;Altdöbern;BAD;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
75;Altdorf (b Nürnberg);NAD;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
76;Altdorf West (b Nürnberg);NADW;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
77;Alte Veste;NAVE;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
78;Alte Wöhr (S-Bahn);AAW;BWVI;4;4;Hamburg;Nord;2,87;2,12;26,13
79;Altefähr;WAF;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
80;Altena (Westf);EALN;NWL;5;5;Nordrhein-Westfalen;West;4,04;2,83;29,95
81;Altenahr;KALT;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
82;Altenau (Bay);MALT;BEG;7;6;Bayern;Süd;2,41;2,01;16,6
83;Altenbach;LALT;ZVNL;6;6;Sachsen;Südost;2,57;2,37;7,78
84;Altenbamberg;SAB;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
85;Altenbeken;HA;NWL;2;3;Nordrhein-Westfalen;West;15,54;5,81;62,61
86;Altenberg (Erzgeb);DAG;VVO;5;6;Sachsen;Südost;2,41;2,37;1,66
87;Altenberge;EABG;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
89;Altenburg;LA;NVS;5;5;Thüringen;Südost;3,97;4,22;–6,3
94;Altenerding;MANE;BEG;6;5;Bayern;Süd;3,34;2,32;30,54
95;Altenfeld (Rhön);FATF;RMV;7;6;Hessen;Mitte;2,27;2,32;–2,2
96;Altenglan;SALG;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
97;Altengörs;AAT;LVS;7;6;Schleswig-Holstein;Nord;2,26;2,56;–13,27
104;Altenhundem;EA;NWL;4;5;Nordrhein-Westfalen;West;5,35;2,83;47,1
105;Altenkirchen (Westerw);KAK;ZVRP Nord;6;6;Rheinland-Pfalz;Mitte;2,2;1,47;33,18
108;Altenseelbach;EASE;NWL;7;6;Nordrhein-Westfalen;West;3,42;2,79;18,42
109;Altenstadt (Hess);FAST;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
110;Altenstadt (Iller);MASI;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
8152;Altenstadt (Waldnaab);;BEG;6;;Bayern;;3,34;;
2806;Altenstadt-Höchst;FHTN;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
3735;Altenstadt-Lindheim;FLIN;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
111;Altentreptow;WATR;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
113;Altenwillershagen;WALW;VMV;6;6;Mecklenburg-Vorpommern;Ost;5,24;2,72;48,09
114;Altersbach;UACH;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
3072;Altes Lager;BJAB;VBB;7;6;Brandenburg;Ost;3,02;3,44;–13,91
3072;Altes Lager;BJA;VBB;7;6;Brandenburg;Ost;3,02;3,44;–13,91
115;Altglashütten-Falkau;RAT;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
116;Altglienicke;BAGL;VBB Berlin;4;4;Berlin;Ost;2,25;1,96;12,89
117;Althegnenberg;MAHB;BEG;5;6;Bayern;Süd;3,17;2,01;36,59
119;Altheim (Hess);FAT;RMV;6;6;Hessen;Mitte;3,13;2,32;25,88
121;Althof;WAH;VMV;7;6;Mecklenburg-Vorpommern;Ost;3,85;2,72;29,35
124;Altmittweida;DAMD;VMS;6;6;Sachsen;Südost;4,26;2,37;44,37
125;Altmorschen;FAMO;NVV;6;5;Hessen;Mitte;3,96;2,37;40,15
126;Altomünster;MAMT;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
128;Altranft;BART;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
129;Altruppin;WAR;VBB;6;6;Brandenburg;Ost;4,66;3,44;26,18
130;Altshausen;TAT;NVBW;6;6;Baden-Württemberg;Südwest;2,93;2,03;30,72
131;Altstädten (Allgäu);MATS;BEG;6;6;Bayern;Süd;3,34;2,01;39,82
132;Alttann;TATN;NVBW;7;6;Baden-Württemberg;Südwest;2,33;2,03;12,88
133;Alzey;FALZ;ZPNV Süd;3;5;Rheinland-Pfalz;Mitte;4,33;1,73;60,05
7531;Alzey Süd;FAZS;ZPNV Süd;6;6;Rheinland-Pfalz;Mitte;2,08;1,47;29,33
134;Amberg;NAM;BEG;5;5;Bayern;Süd;3,17;2,32;26,81
135;Amelsbüren;EAML;NWL;6;6;Nordrhein-Westfalen;West;4,1;2,79;31,95
263;Ammern;UAMM;NVS;7;6;Thüringen;Südost;3,34;1,78;46,71
138;Amorbach;NAMH;NWL;6;6;Bayern;Süd;4,1;2,01;50,98
