Alfeld (Leine),4,Alfeld ,"{'type': 'Point', 'coordinates': [9.817779, 51.981417]}"
Alfter-Impekoven,6,Alfter,"{'type': 'Point', 'coordinates': [7.019831, 50.711016]}"
Alfter-Witterschlick,6,Alfter,"{'type': 'Point', 'coordinates': [7.026083, 50.689698]}"
Algermissen,6,Algermissen,"{'type': 'Point', 'coordinates': [9.966472, 52.25188]}"
Alheim-Heinebach,6,Alheim,"{'type': 'Point', 'coordinates': [9.664423, 51.045739]}"
Aligse,6,Lehrte,"{'type': 'Point', 'coordinates': [9.979349, 52.403462]}"
Allee-Center Leipzig,6,Leipzig,"{'type': 'Point', 'coordinates': [12.291748, 51.319158]}"
Allendorf (Dillkr),7,Haiger,"{'type': 'Point', 'coordinates': [8.185486, 50.743811]}"
Allensbach,4,Allensbach,"{'type': 'Point', 'coordinates': [9.068852, 47.714464]}"
Allermöhe,4,Hamburg,"{'type': 'Point', 'coordinates': [10.158735, 53.490356]}"
Allermöhe (S-Bahn),4,Hamburg,"{'type': 'Point', 'coordinates': [10.158735, 53.490356]}"
Allersberg (Rothsee),6,Allersberg,"{'type': 'Point', 'coordinates': [11.212573, 49.262131]}"
Allmendingen,6,Allmendingen,"{'type': 'Point', 'coordinates': [9.722382, 48.327734]}"
Alpen,7,Alpen,"{'type': 'Point', 'coordinates': [6.518041, 51.583392]}"
Alpirsbach,6,Alpirsbach,"{'type': 'Point', 'coordinates': [8.398251, 48.343809]}"
Alsenz,6,Alsenz,"{'type': 'Point', 'coordinates': [7.817189, 49.727495]}"
Alsfeld (Oberhess),5,Alsfeld,"{'type': 'Point', 'coordinates': [9.264297, 50.750962]}"
Alsheim,5,Alsheim,"{'type': 'Point', 'coordinates': [8.342462, 49.765528]}"
Alt Hüttendorf,6,Althüttendorf,"{'type': 'Point', 'coordinates': [13.783574, 52.957591]}"
Alt Rosenthal,6,Vierlinden,"{'type': 'Point', 'coordinates': [14.278627, 52.550403]}"
Alt-Reinickendorf,6,Berlin,"{'type': 'Point', 'coordinates': [13.349617, 52.578091]}"
Altbach,3,Altbach,"{'type': 'Point', 'coordinates': [9.382384, 48.720393]}"
Altdöbern,6,Luckaitztal,"{'type': 'Point', 'coordinates': [14.009236, 51.65278]}"
Altdorf (b Nürnberg),6,Altdorf (b. Nürnberg),"{'type': 'Point', 'coordinates': [11.35353, 49.390006]}"
Altdorf West (b Nürnberg),6,Altdorf (b. Nürnberg),"{'type': 'Point', 'coordinates': [11.341467, 49.391146]}"
Alte Veste,6,Fürth,"{'type': 'Point', 'coordinates': [10.972363, 49.454322]}"
Alte Wöhr (S-Bahn),4,Hamburg,"{'type': 'Point', 'coordinates': [10.035415, 53.59793]}"
Altefähr,6,Altefähr,"{'type': 'Point', 'coordinates': [13.14101, 54.322927]}"
Altena (Westf),5,Altena,"{'type': 'Point', 'coordinates': [7.668808, 51.301981]}"
Altenahr,6,Altenahr,"{'type': 'Point', 'coordinates': [6.989707, 50.515652]}"
Altenau (Bay),7,Saulgrub,"{'type': 'Point', 'coordinates': [11.017375, 47.648365]}"
Altenbach,6,Bennewitz,"{'type': 'Point', 'coordinates': [12.682324, 51.355868]}"
Altenbamberg,6,Altenbamberg,"{'type': 'Point', 'coordinates': [7.830745, 49.786857]}"
Altenbeken,2,Altenbeken,"{'type': 'Point', 'coordinates': [8.943319, 51.766433]}"
Altenberg (Erzgeb),5,Altenberg,"{'type': 'Point', 'coordinates': [13.753634, 50.766298]}"
Altenberge,6,Altenberge,"{'type': 'Point', 'coordinates': [7.481303, 52.052258]}"
Altenburg,5,Altenburg,"{'type': 'Point', 'coordinates': [12.444019, 50.996648]}"
Altenerding,6,Erding,"{'type': 'Point', 'coordinates': [11.901744, 48.293572]}"
Altenfeld (Rhön),7,Gersfeld (Rhön),"{'type': 'Point', 'coordinates': [9.849726, 50.450898]}"
Altenglan,6,Altenglan,"{'type': 'Point', 'coordinates': [7.461841, 49.548643]}"
Altengörs,7,Neuengörs,"{'type': 'Point', 'coordinates': [10.355554, 53.898696]}"
Altenhundem,4,Lennestadt,"{'type': 'Point', 'coordinates': [8.071517, 51.104132]}"
Altenkirchen (Westerw),6,Altenkirchen ,"{'type': 'Point', 'coordinates': [7.638257, 50.684418]}"
Altenseelbach,7,Neunkirchen,"{'type': 'Point', 'coordinates': [7.992398, 50.783837]}"
Altenstadt (Hess),6,Altenstadt,"{'type': 'Point', 'coordinates': [8.943977, 50.283398]}"
Altenstadt (Iller),6,Altenstadt,"{'type': 'Point', 'coordinates': [10.109983, 48.161191]}"
Altenstadt (Waldnaab),6,Altenstadt a. d. Waldnaab,"{'type': 'Point', 'coordinates': [12.16487, 49.715679]}"
Altenstadt-Höchst,6,Altenstadt,"{'type': 'Point', 'coordinates': [8.923418, 50.269767]}"
Altenstadt-Lindheim,6,Altenstadt,"{'type': 'Point', 'coordinates': [8.978775, 50.291334]}"
Altentreptow,6,Altentreptow,"{'type': 'Point', 'coordinates': [13.242713, 53.692233]}"
Altenwillershagen,6,Altenwillershagen,"{'type': 'Point', 'coordinates': [12.572818, 54.259406]}"
