Bahnhof,Bahnhofs-Nummer,Bahnhofs-Kategorie (2015)
Erfurt-Bischleben,1637,5

Erfurt-Gispersleben,1638,6

Ergenzingen,1639,6

Erlenbach (Main),1656,6

Erndtebrück,1659,6

Eschede,1673,6

Eschwege West,1679,4

Espenau-Mönchehof,4161,5

Esperstedt (Kyffh),1687,6

Essen-Kray Nord,1707,6

Esslingen (Neckar),1716,3

Esslingen-Mettingen,1717,3

Esslingen-Zell,1718,4

Euerdorf,1731,7

Euskirchen,1734,3

Fahrenkrug,1747,7

Fahrnau,1749,6

Falkenhagen (Prign),1756,6

Farchant,1764,6

Faulbach (Main),1766,5

Fellbach,1775,3

Felsberg-Altenbrunslar,88,6

Fichtenberg,1788,6

Fischbach-Camphausen,1799,6

Flensburg Weiche,1811,3

Flintbek,1813,6

Flintsbach,1814,6

Frankenhain,1844,7

Frankfurt (Main) Galluswarte,1863,4

Frankfurt (Main) Stresemannallee,1855,4

Frankfurt (Main) Süd,1856,2

Frankfurt-Berkersheim,1867,5

Frankfurt-Sossenheim,1879,6

Frankfurt-Zeilsheim,8058,5

Freiburg (Breisgau) Hbf,1893,2

Freienorla,1902,7

Freital-Hainsberg West,1913,6

Freudenberg (Main),1920,7

Frickhofen,1926,6

Friedrichsberg (S-Bahn),1941,4

Friedrichshafen-Kluftern,7430,7

Friedrichsruh,1950,7

Friedrichswalde (b Eberswalde),1957,6

Friesenheim (Baden),1962,6

Frimmersdorf,1963,6

Frohburg,1965,6

Fürstenfeldbruck,1977,4

Fürstenhausen,7859,7

Fürth-Unterfürberg,1991,6

Füssen,1992,6

Gablingen,1993,5

Gallin,2002,7

Gamburg (Tauber),2004,7

Garbenteich,2009,6

Gardelegen,2011,6

Gebra (Hainleite),2027,6

Gehofen,2031,6

Geisenheim,2042,5

Geising,2043,6

Gennweiler,7158,6

Genshagener Heide,2063,4

Genzien,2069,4

Georgenthal (Thür),2072,4

Gera Ost,2074,6

Gera-Kaimberg,2076,5

Gera-Langenberg,2077,7

Gera-Liebschwitz,2078,6

Gernlinden,2094,4

Gernrode-Niederorschel,4515,6

Gessertshausen,2110,5

Gettenau-Bingenheim,2111,6

Gießen Erdkauter Weg,1627,6

Gießen Licher Straße,2121,6

Gildenhall,2125,5

Gladbeck-Zweckel,2134,6

Glan-Münchweiler,2136,6

Glanzstoffwerke,2137,6

Gleisberg-Marbach,2144,6

Glückstadt,2151,5

Goldenstedt (Oldb),2173,7

Göllingen (Kyffh),2176,6

Görden,2191,7

Görden,2191,7

Gorgast,2192,6

Gotha,2209,3

Gotha Ost,2210,6

Götschendorf,2211,

Grabow (Meckl),2225,6

Gräfelfing,2227,4

Gräfenroda Ort,2234,

Grafing Stadt,2241,5

Grafling-Arzting,8253,7

Greiz-Dölau,2256,6

Grenzach,2257,5

Grieben (b Gransee),2266,6

Griefstedt,2270,7

Griesen (Oberbay),2271,7

Gronsdorf,2290,4

Groß Ammensleben,2291,6

Groß Garz,2298,6

Groß Gräfendorf,2301,6

Groß Laasch,2308,7

Groß Quassow,2313,6

Groß Quenstedt,2314,6

Großbüllesheim,2329,6

Großfurra,2343,6

Großgeschaidt,2344,7

Großharthau,2345,6

Großstöbnitz,2368,6

Grub (Oberbay),2376,5

Grub (Oberpf),2377,7

Grüneberg,2395,6

Grunow (Niederlausitz),2400,6

Gundelshausen,2415,6

Gundelsheim (Neckar),2416,6

Gunzen,2423,3

Güstrow,2432,3

Gutach (Breisgau),2433,6

Gutach Freilichtmuseum,7113,6

Hachelbich,2445,6

Hachenburg,2446,6

Hackescher Markt,2447,4

Hadamar,2448,6

Hademstorf,2450,7

Hagen-Vorhalle,2463,6

Hagen-Wehringhausen,2464,6

Hagenow,2467,6

Haiger Obertor,2476,7

Hailer-Meerholz,2477,5

Hainstadt (Baden),2481,6

Halbmeil,2492,7

Haldensleben,2493,5

Haldern (Rheinl),2495,6

Halle-Nietleben,2504,6

Hamburg Hbf,2514,1

Hamburg-Altona,2517,1

Hamburg-Altona,2517,1

Hamminkeln,2536,6

Hanau Hbf,2537,2

Hanau Hbf,2537,2

Hanau Hbf,2537,2

Hannover–Vinnhorst,6424,4

Hannover Bismarckstraße,2544,4

Hannover Hbf,2545,1

Hanweiler-Bad Rilchingen,2553,6

Hanweiler-Bad Rilchingen,2553,6

Happurg,8194,6

Harblek,2554,7

Harpe,2560,6

Harsum,2565,6

Hartershofen,2568,7

Harthaus,2570,5

Hasloch (Main),2578,5

Haßloch (Pfalz),2585,4

Hauenstein Mitte,8200,6

Haunetal-Neukirchen,4408,6

Haynsburg,2611,6

HD-Weststadt/Südstadt,8050,5

Hegermühle,2622,6

Heggen,2623,6

Hegne,2624,6

Heidefeld,2627,3

Heidelberger Platz,2632,4

Heidenau,2636,4

Heilbronn Hbf,2648,2

Heilbronn Hbf,2648,2

Heimfeld (S-Bahn),2662,4

Heimstetten,2663,5

Heinersdorf (b Lobenstein),2665,6

Helpup,2678,7

Hemmerde,2681,6

Hemmersdorf (Saar),2682,7

Hemsen (b Soltau),2685,5

Herbertingen Ort,2696,7

Herbertshofen,2697,6

Herbolzheim (Breisgau),2699,5

Herlasgrün,2714,6

Herrenberg,2726,3

Herrensee,2727,6

Herzberg (Harz),2740,5

Herzberg (Mark),2741,5

Herzberg Schloß,2742,7

Hetschburg,2750,7

Hettenhausen,2751,7

Hildburghausen,2762,6

Hilden,2763,4

Hilden Süd,2764,5

Hirschhorn (Pfalz),2792,6

Hittfeld,2795,6

Hitzacker,2796,7

Hochhausen (Tauber),2801,6

Höchst-Hetschbach,2749,7

Höchstädt (Donau),2808,6

Hofen (b Aalen),2821,6

Hoffenheim,2823,6

Hoffnungsthal,2824,6

Hohenebra Ort,2840,7

Hoheneggelsen,2841,6

Hohenstein-Ernstthal,2862,5

Holm-Seppensen,2875,6

Holzminden,2889,4

Holzwickede,2890,5

Hoppenwalde,2903,4

Horb-Heiligenfeld,7712,7

Hordorf,2908,3

Horka Pbf,2910,6

Hoyerswerda-Neustadt,2932,5

Hoykenkamp,2933,6

Hundsgrün,2948,7

Hünfeld,2949,5

Hüttenrode,2956,6

Ibach,2960,7

Ibbenbüren,2961,4

Igensdorf,2967,6

Igersheim,2968,6

Ilsenburg,2980,6

Immelborn,2981,6

Ingelheim,2992,4

Iserlohn,3006,6

Iserlohnerheide,3008,7

Jabel (Meckl),3019,6

Jacobsdorf (Mark),3020,6

Jacobsthal,3021,6

Jägerhaus,3023,7

Jeber-Bergfrieden,3040,6

Jeeser,3041,6

Jena Paradies,3043,3

Jerxheim,3048,6

Joachimsthal,3055,6

Jodbad Sulzbrunn,3058,6

Jungfernheide,3067,4

Jungfernstieg (S-Bahn),3068,4

Jütrichau,3073,7

Kaiserslautern Hbf,3082,2

Kaiserslautern Pfaffwerk,3083,7

Kamenz (Sachs),3097,6

Kämmereiforst,3098,6

Kargow,3103,6

Karlsruhe West,3108,6

Karlsruhe West,3108,6

Karow (Meckl),3115,4

Kassebohm,5368,6

Kattenes,3134,6

Kehl,3148,4

Kerkerbach,3161,6

Kerkwitz,3162,6

Kiekebusch (b Cottbus),3173,4

Kiel Hbf,3174,2

Kiel-Elmschenhagen,7252,6

Kirchen,3186,5

Kirchenlaibach,3187,4

Kirchhorsten,3199,6

Kirnsulzbach,3209,6

Kläden (b Arendsee/Altm),3214,5

Klebitz,3223,6

Kleeth,3225,6

Klein Auheim,3226,6

Kleinfurra,3249,6

Kleinheubach,3250,6

Kleinwallstadt,3262,6

Klieken,3266,6

Klingenberg (Main),3270,6

Klockow (b Waren/Müritz),3278,6

Klosterfelde,3282,6

Klosterlechfeld,3284,6

Klostermansfeld,3285,6

Klostermansfeld Randsiedlung,8021,7

Kolkwitz Süd,3314,6

Kölleda,3315,6

Kollmarsreute,3316,6

Köln Trimbornstrasse,3322,4

Köln-Ehrenfeld,3330,3

Köln-Ehrenfeld,3330,3

Köln-Weiden West,8131,5

Köln-Worringen,3339,5

Köndringen,3342,6

Konstanz (CH),7991,7

Konz Mitte,1096,6

Kottenheim,3386,6

Krauschwitz (b Teuchern),3401,7

Kredenbach,3402,7

Kremmen,3409,6

Kremmen,3409,6

Kriftel,3423,4

Krippen,3424,6

Krottorf,3433,7

Krüden,3434,7

Kruft,3435,6

Kulmbach,3458,4

Kummerow (b Stralsund),3459,7

Küstrin-Kietz,3478,6

Kyritz,3483,6

Laggenbeck,3493,5

Landau (Pfalz) Süd,8283,7

Landwehr (S-Bahn),3518,4

Langenbuch,3532,5

Langendorf,3533,7

Langenorla Ost,3547,7

Langhagen,3559,7

Langlau,3560,7

Langsdorf (Oberhess),3563,6

Lauchringen,3575,6

Lauchringen West,8048,6

Laudenbach (b Kleinheubach),3577,4

Laudenbach (Württ),3579,5

Lauf West,3586,6

Laufach,3587,6

Lautenbach (Baden),3600,7

Lauterbach (Hess) Nord,3602,6

Lauterbach (Mole),3603,6

Lauterbach (Mole),3603,6

Lauterbach (Rügen),8148,7

Legefeld,3612,7

Legelshurst,3613,6

Lehmen,3614,6

Leipzig Bayerischer Bahnhof,8099,5

