Bahnhof,Bahnhofs-Nummer,Bahnhofs-Kategorie (2015)
Sülzenbrücken,6120,6

Tangerhütte,6138,6

Tauberbischofsheim,6152,6

Teltow Stadt,2871,5

Templin-Ahrensdorf,6169,7

Teterow,6175,6

Thießen,6199,4

Tiefensee,6214,6

Tornesch,6230,4

Tostedt,6231,4

Traun,6238,5

Trebbichau,6241,3

Trebnitz (Mark),6247,6

Trechtingshausen,6249,6

Triefenried,6263,6

Trier Hbf,6264,2

Tübingen-Derendingen,6281,6

Tutzing,6294,3

Uebigau,6308,6

Uftrungen,6313,5

Uhyst,6319,6

Umrathshausen Bahnhof,6327,7

Unkel,6334,5

Untergriesheim,6348,6

Unterreichenbach,6362,6

Ürzig DB,6378,6

Varel (Oldb),6393,5

Verden (Aller),6408,3

Vernawahlshausen,6409,7

Vilseck,6421,6

Vilshofen (Niederbay),6423,4

Vitzenburg,6427,6

Vohren,6438,6

Vöhrum,6440,6

Wabern (Bz Kassel),6457,4

Wahrenholz,6470,6

Waldkirch,6487,5

Waldmünchen,6491,7

Walldürn,6505,6

Wallenrod,6507,6

Waltershausen-Schnepfenthal,6523,7

Wandersleben,6526,6

Wandsbek Ost,6529,4

Warenshof,6540,6

Warnemünde Werft,6546,5

Warngau,6547,6

Wasserthaleben,6563,7

Wasserzell (b Eichstätt),6565,7

Watenstedt,6567,6

Weener,6576,7

Weesenstein,6577,7

Weidenthal,6601,6

Weiding,6602,7

Weikersheim,6605,6

Weilbach (Unterfr),6611,7

Weilburg,6612,5

Weinböhla Hp,6620,6

Weinböhla Hp,6620,6

Weinheim (Bergstr),6622,4

