Aachen Hbf,8000001,2,Aachen,"{'type': 'Point', 'coordinates': [6.091499, 50.7678]}"
Aachen-Rothe Erde,8000406,4,Aachen,"{'type': 'Point', 'coordinates': [6.116475, 50.770202]}"
Aalen,8000002,2,Aalen,"{'type': 'Point', 'coordinates': [10.096271, 48.841013]}"
Achern,8000412,4,Achern,"{'type': 'Point', 'coordinates': [8.065324, 48.63399]}"
Achim,8000413,4,Achim,"{'type': 'Point', 'coordinates': [9.030447, 53.01599]}"
Ahlen (Westf),8000441,4,Ahlen ,"{'type': 'Point', 'coordinates': [7.895488, 51.761062]}"
Ahrensburg,8000446,4,Ahrensburg,"{'type': 'Point', 'coordinates': [10.236206, 53.669171]}"
Ahrensfelde,8011003,4,Berlin,"{'type': 'Point', 'coordinates': [13.565154, 52.571375]}"
Alexanderplatz,8011155,3,Berlin,"{'type': 'Point', 'coordinates': [13.410961, 52.521481]}"
Alfeld (Leine),8000483,4,Alfeld ,"{'type': 'Point', 'coordinates': [9.817779, 51.981417]}"
Allensbach,8000496,4,Allensbach,"{'type': 'Point', 'coordinates': [9.068852, 47.714464]}"
Allermöhe,8000779,4,Hamburg,"{'type': 'Point', 'coordinates': [10.158735, 53.490356]}"
Allermöhe (S-Bahn),8000779,4,Hamburg,"{'type': 'Point', 'coordinates': [10.158735, 53.490356]}"
Altbach,8000508,3,Altbach,"{'type': 'Point', 'coordinates': [9.382384, 48.720393]}"
Alte Wöhr (S-Bahn),8000512,4,Hamburg,"{'type': 'Point', 'coordinates': [10.035415, 53.59793]}"
Altenbeken,8000004,2,Altenbeken,"{'type': 'Point', 'coordinates': [8.943319, 51.766433]}"
Altenhundem,8000532,4,Lennestadt,"{'type': 'Point', 'coordinates': [8.071517, 51.104132]}"
Altglienicke,8089054,4,Berlin,"{'type': 'Point', 'coordinates': [13.558753, 52.407299]}"
Alzey,8000007,3,Alzey,"{'type': 'Point', 'coordinates': [8.109749, 49.7502]}"
Andernach,8000331,3,Andernach,"{'type': 'Point', 'coordinates': [7.404839, 50.434542]}"
Angermünde,8010004,3,Angermünde,"{'type': 'Point', 'coordinates': [13.996361, 53.015221]}"
Ansbach,8000009,3,Ansbach,"{'type': 'Point', 'coordinates': [10.578239, 49.298032]}"
Apolda,8011051,4,Apolda,"{'type': 'Point', 'coordinates': [11.526136, 51.03094]}"
Appelhülsen,8000595,4,Nottuln-Appelhülsen,"{'type': 'Point', 'coordinates': [7.426334, 51.892139]}"
Appenweier,8000596,4,Appenweier,"{'type': 'Point', 'coordinates': [7.97319, 48.541461]}"
Arnsberg (Westf),8000605,4,Arnsberg,"{'type': 'Point', 'coordinates': [8.067965, 51.405662]}"
Arnstadt Hbf,8010007,4,Arnstadt,"{'type': 'Point', 'coordinates': [10.948262, 50.841939]}"
Aschaffenburg Hbf,8000010,2,Aschaffenburg,"{'type': 'Point', 'coordinates': [9.143697, 49.980557]}"
Aschersleben Pbf,8010009,4,Aschersleben,"{'type': 'Point', 'coordinates': [11.465689, 51.757122]}"
Asperg,8000630,4,Asperg,"{'type': 'Point', 'coordinates': [9.147797, 48.907359]}"
Au (Sieg),8000012,3,Windeck,"{'type': 'Point', 'coordinates': [7.656537, 50.773765]}"
Augsburg Haunstetterstraße,8000658,3,Augsburg,"{'type': 'Point', 'coordinates': [10.900985, 48.355285]}"
Augsburg Hbf,8000013,2,Augsburg,"{'type': 'Point', 'coordinates': [10.88557, 48.365441]}"
Augsburg-Hochzoll,8000661,3,Augsburg,"{'type': 'Point', 'coordinates': [10.943376, 48.352977]}"
Augsburg-Oberhausen,8000662,4,Augsburg,"{'type': 'Point', 'coordinates': [10.872533, 48.380772]}"
